KEYWORDS,DESTINY,SPECIFIC,FINAL
ABDOMINAL,1,1.01,1.01
ABDOMEN,1,1.01,1.01
VOMITING,1,1.02,1.02
DIARRHOEA,1,1.02,1.02
CONSTIPATION,1,1.04,1.04
NAUSEA,1,1.05,1.05
ABDO PAIN,1,1.01,1.01
EPIGASTRIC,1,1.01,1.01
MELAENA,1,1.06,1.06
PR,1,1.06,1.06
RECTAL,1,1.07,1.07
RECTUM,1,1.07,1.07
ANUS,1,1.07,1.07
ANAL,1,1.07,1.07
STOMACH,1,1.01,1.01
STOOL ,1,1.06,1.06
RIF,1,1.01,1.01
DIGESTION,1,1.08,1.08
DIGESTIVE,1,1.08,1.08
BOWELS,1,1.08,1.08
BOWEL ,1,1.08,1.08
RUQ,1,1.01,1.01
LIF,1,1.01,1.01
LUQ,1,1.01,1.01
JAUNDICE,1,1.01,1.01
ABDO,1,1.01,1.01
BILIARY,1,1.09,1.09
V & D,1,1.02,1.02
HAEMATEMESIS,1,1.06,1.06
GROIN,1,1.1,1.1
V AND D,1,1.02,1.02
ABD ,1,1.01,1.01
ABDOMEN,1,1.01,1.01
ABDOMNAL,1,1.01,1.01
V+D,1,1.02,1.02
PRB,1,1.06,1.06
APPETTITE,1,1.08,1.08
VOMITING/DIARRHOEA,1,1.02,1.02
DIARRHEA,1,1.02,1.02
GASTRO,1,1.02,1.02
PILONIDAL,1,1.11,1.11
HERNIA,1,1.12,1.12
ASCITES,1,1.13,1.13
ABDO PAIN/VOMITING,1,1.01,1.01
APPENDICITIS,1,1.14,1.14
DIARROHEA,1,1.02,1.02
V/D,1,1.02,1.02
P.R.BLEED,1,1.06,1.06
GI,1,1.08,1.08
D + V,1,1.02,1.02
REFLUX,1,1.15,1.15
BUTTOCK,1,,1
STOOLS,1,1.02,1.02
FEVER/ABDO PAIN,1,1.01,1.01
HAEMATEMESIS / MALAENA,1,1.06,1.06
HAEMORRHOID,1,1.16,1.16
GASTROENTERITIS,1,1.02,1.02
PANCREATITIS,1,1.17,1.17
CHOLECYSTITIS,1,1.18,1.18
VOMITING/DIARRHO,1,1.02,1.02
FOOD,1,1.02,1.02
QUADRANT,1,1.01,1.01
VOMMITING,1,1.02,1.02
"PAIN,ABDOMINAL",1,1.01,1.01
GASTROINTESTINAL,1,1.08,1.08
SHORTNESS OF BREATH,6,6.01,6.01
COUGH,6,6.02,6.02
SOB,6,6.01,6.01
ASTHMA,6,6.03,6.03
INHALATION,6,6.04,6.04
WHEEZE,6,6.03,6.03
RESPIRATORY,6,6,6
LUNG,6,6,6
CROUP,6,6.05,6.05
HAEMOPTYSIS,6,6.06,6.06
BREATHING,6,6.01,6.01
PE,6,6.07,6.07
PULMONARY,6,6,6
PNEUMONIA,6,6.08,6.08
BREATH ,6,6.01,6.01
FEVER/COUGH,6,6.2,6.2
URTI,6,6.08,6.08
RTI,6,6.08,6.08
WOB,6,6.01,6.01
STRIDOR,6,6.09,6.09
PLEURETIC,6,6.1,6.1
PLEURITIC,6,6.1,6.1
PLEURISY,6,6.1,6.1
PNUEMONIA,6,6.08,6.08
SOB/ASTHMA,6,6.03,6.03
SOB/FEVERS,6,6.01,6.01
COUGHING,6,6.02,6.02
BRONCH,6,6.08,6.08
APNOEA,6,6.11,6.11
HEMOPTYSIS,6,6.06,6.06
BREATHLESSNESS,6,6.01,6.01
HEAD INJURY,5,5.07,5.07
INURY,5,5,5
TRAUMA,5,5.01,5.01
VEHICLE,5,5.02,5.02
FALL,5,5.04,5.04
BITE,5,5.09,5.09
ASSAULT,5,5.08,5.08
WOUND,5,5,5
SNAKE,5,5.1,5.1
CAT,5,5.11,5.11
DOG,5,5.12,5.12
INSECT,5,5.13,5.13
BURN,5,5.05,5.05
BURN/SCALD,5,5.05,5.05
MVC ,5,5.02,5.02
DRIVER,5,5.02,5.02
FALL/FALLS,5,5.04,5.04
MBA,5,5.02,5.02
MBC,5,5.02,5.02
PEDESTRIAN,5,5.03,5.03
FALLS/FALLS,5,5.04,5.04
ACCIDENT,5,5.01,5.01
BURNS,5,5.05,5.05
LAC,5,5.06,5.06
LACERATION,5,5.06,5.06
TEAR,5,5.06,5.06
VS.,5,5.02,5.02
VS ,5,5.02,5.02
PED ,5,5.03,5.03
CAR,5,5.02,5.02
HI,5,5.07,5.07
CHI,5,5.07,5.07
FRACTURE,5,5.14,5.14
#,5,5.14,5.14
A/A,5,5.08,5.08
SUNBURN,5,5.05,5.05
IMMERSION,5,5.16,5.16
DROWNING ,5,5.16,5.16
ELECTROCUTION,5,5.17,5.17
INJ,5,5,5
ASSAULT/ALLEGED,5,5.08,5.08
ASSAULT,5,5.08,5.08
ASSAULTED,5,5.08,5.08
SDH,5,5.18,5.18
BITES,5,5.19,5.19
ASSUALT,5,5.08,5.08
BRUISE,5,5,5
"PAIN,CHEST",2,2.01,2.01
COLLAPSE,2,2.02,2.02
PALPITATION,2,2.03,2.03
SYNCOPE,2,2.02,2.02
FAINT,2,2.02,2.02
OEDEMA,2,2.12,2.12
ARREST,2,2.04,2.04
ARRHYTHMIA ,2,2.03,2.03
CHEST PAIN,2,2.01,2.01
HEART,2,2,2
HYPERTENSION,2,2.05,2.05
CP,2,2.01,2.01
TACHYCARDIA,2,2.07,2.07
DVT,2,2.09,2.09
PALPATATIONS,2,2.03,2.03
PALPITATIONS,2,2.03,2.03
CHESTPAIN ,2,2.01,2.01
BRADYCARDIA,2,2.08,2.08
SYNCOPAL ,2,2.02,2.02
SVT,2,2.07,2.07
SYNCOPY,2,2.02,2.02
BP,2,2.051,2.051
"PAIN, CHEST (ISCHAEMIA LIKELY)",2,2.01,2.01
CALF ,2,2.09,2.09
HYPOTENSION,2,2.06,2.06
HYPOTENSIVE,2,2.06,2.06
HYPERTENSIVE,2,2.05,2.05
COLLAPSED,2,2.02,2.02
COLLAPSE,2,2.02,2.02
CIRCULATION,2,2,2
FAINT,2,2.02,2.02
BRADYCARDIC,2,2.08,2.08
TACHYCARDIC,2,2.07,2.07
HR,2,2.081,2.081
CHEST PAINS ,2,2.01,2.01
LIGHT HEADED,2,2.02,2.02
HEART,2,2,2
PALPITATIONS,2,2.03,2.03
ECG,2,2.1,2.1
CHEST PRESSURE,2,2.01,2.01
CP/SOB,2,2.01,2.01
CCF,2,2.11,2.11
AF,2,2.07,2.07
PALPIATIONS,2,2.03,2.03
AAA,2,2.12,2.12
CARDIAC,2,2,2
CARDIOVASCULAR,2,2,2
VESSEL,2,2,2
FEVER,4,4,4
